Choice ID,Omaha Code,Column2,SNOMED CT concept ID,SNOMED CT,POC  Notes,KBS,Mapping Status,PR,Category,TG,CD,POC_INTRVN_ID,Pathway,PR ID,SSX ID,S&S,Goal PR,LTG Statement,LTG Topic,LTG ID,STG Statement,STG Topic,STG ID,Goal Notes
OMAHA,14.01,P,422615001,Caregiver difficulty providing physical care (finding),,,PB0014,Caretaking/parenting,Surveillance,,,Intv ID,,POC_PROB_ID,SS1401,Difficulty providing physical care/safety,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,14.03,P,422750002,Caregiver difficulty providing cognitive learning experiences (finding),,,PB0014,Caretaking/parenting,Surveillance,,,Intv ID,,POC_PROB_ID,SS1403,Difficulty providing cognitive learning experiences and activities,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,14.01,P,422787005,Caregiver difficulty providing physical safety (finding),,,PB0014,Caretaking/parenting,Surveillance,,,Intv ID,,POC_PROB_ID,SS1401,Difficulty providing physical care/safety,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,14.07,P,422913006,Neglectful parenting (finding),,,PB0014,Caretaking/parenting,Surveillance,,,Intv ID,,POC_PROB_ID,SS1407,Neglectful,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,14.02,P,423080005,Caregiver difficulty providing emotional nurturance (finding),,,PB0014,Caretaking/parenting,Surveillance,,,Intv ID,,POC_PROB_ID,SS1402,Difficulty providing emotional nurturance,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,14.04,P,423320002,Caregiver difficulty providing healthcare (finding),,,PB0014,Caretaking/parenting,Surveillance,,,Intv ID,,POC_PROB_ID,SS1404,Difficulty providing preventive and therapeutic health care,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,14.06,P,423754004,Difficulty with caretaking responsibilities (finding),,,PB0014,Caretaking/parenting,Surveillance,,,Intv ID,,POC_PROB_ID,SS1406,Dissatisfaction/difficulty with responsibilities,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,14.06,P,424166009,Dissatisfaction with caretaking responsibilities (finding),,,PB0014,Caretaking/parenting,Surveillance,,,Intv ID,,POC_PROB_ID,SS1406,Dissatisfaction/difficulty with responsibilities,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,14.06,P,424364004,Dissatisfaction with parenting responsibilities (finding),,,PB0014,Caretaking/parenting,Surveillance,,,Intv ID,,POC_PROB_ID,SS1406,Dissatisfaction/difficulty with responsibilities,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,14.07,P,424759000,Neglectful caretaking (finding),,,PB0014,Caretaking/parenting,Surveillance,,,Intv ID,,POC_PROB_ID,SS1407,Neglectful,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,14.05,P,424826008,Unrealistic expectations regarding growth and development (finding),,,PB0014,Caretaking/parenting,Surveillance,,,Intv ID,,POC_PROB_ID,SS1405,Expectations incongruent with stage of growth and development,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,14.06,P,424896002,Difficulty with parenting responsibilities (finding),,,PB0014,Caretaking/parenting,Surveillance,,,Intv ID,,POC_PROB_ID,SS1406,Dissatisfaction/difficulty with responsibilities,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,14.10,P,425129009,Caregiver difficulty interpreting verbal communication (finding),,,PB0014,Caretaking/parenting,Surveillance,,,Intv ID,,POC_PROB_ID,SS1410,Difficulty interpreting or responding to verbal/nonverbal communication,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,14.08,P,425275009,Abusive parenting (finding),,,PB0014,Caretaking/parenting,Surveillance,,,Intv ID,,POC_PROB_ID,SS1408,Abusive,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,29.04,P,3253007,Discoloration of skin (finding),,,PB0029,Circulation,Surveillance,,,Intv ID,,POC_PROB_ID,SS2904,Discoloration of skin/cyanosis,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,29.11,P,3424008,Tachycardia (finding),,,PB0029,Circulation,Surveillance,,,Intv ID,,POC_PROB_ID,SS2911,Excessively rapid heart rate,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,29.09,P,34624004,Pulse deficit (finding),,,PB0029,Circulation,Surveillance,,,Intv ID,,POC_PROB_ID,SS2909,Pulse deficit,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,29.08,P,38936003,Abnormal blood pressure (finding),,,PB0029,Circulation,Surveillance,,,Intv ID,,POC_PROB_ID,SS2908,Abnormal blood pressure reading,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,29.12,P,48867003,Bradycardia (finding),,,PB0029,Circulation,Surveillance,,,Intv ID,,POC_PROB_ID,SS2912,Excessively slow heart rate,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,29.03,P,64661000,Thready pulse (finding),,,PB0029,Circulation,Surveillance,,,Intv ID,,POC_PROB_ID,SS2903,Decreased pulses,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,29.14,P,88610006,Heart murmur (finding),,,PB0029,Circulation,Surveillance,,,Intv ID,,POC_PROB_ID,SS2914,Abnormal heart sounds/murmurs,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,29.02,P,90834002,Pain in limb (finding),,,PB0029,Circulation,Surveillance,,,Intv ID,,POC_PROB_ID,SS2902,Cramping/pain of extremities,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,29,P,106063007,Cardiovascular finding (finding),,,PB0029,Circulation,Surveillance,,,Intv ID,,POC_PROB_ID,n/a,,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,29.14,P,123824001,Heart sounds abnormal (finding),,,PB0029,Circulation,Surveillance,,,Intv ID,,POC_PROB_ID,SS2914,Abnormal heart sounds/murmurs,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,29.13,P,194828000,Angina (disorder),,,PB0029,Circulation,Surveillance,,,Intv ID,,POC_PROB_ID,SS2913,Anginal pain,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,29.16,P,248253003,Blood does not clot properly (finding),,,PB0029,Circulation,Surveillance,,,Intv ID,,POC_PROB_ID,SS2916,Abnormal clotting,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,29.01,P,267038008,Edema (finding),,,PB0029,Circulation,Surveillance,,,Intv ID,,POC_PROB_ID,SS2901,Edema/Swelling in legs/arms/feet,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,29.07,P,271594007,Syncope (disorder),,,PB0029,Circulation,Surveillance,,,Intv ID,,POC_PROB_ID,SS2907,Syncopal Episodes (Fainting)/Dizziness,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,29.06,P,276504003,Varices (disorder),,,PB0029,Circulation,Surveillance,,,Intv ID,,POC_PROB_ID,SS2906,Varicosities,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,29.10,P,361138002,Irregular heart rate (finding),,,PB0029,Circulation,Surveillance,,,Intv ID,,POC_PROB_ID,SS2910,Irregular heart rate,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,29.17,P,423476009,Abnormal cardiac laboratory result (navigational concept),,,PB0029,Circulation,Surveillance,,,Intv ID,,POC_PROB_ID,SS2917,Abnormal cardiac laboratory results,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,29.02,P,424647005,Cramp in limb (finding),,,PB0029,Circulation,Surveillance,,,Intv ID,,POC_PROB_ID,SS2902,Cramping/pain of extremities,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,29.05,P,424818000,Temperature change at anatomical site (finding),,,PB0029,Circulation,Surveillance,,,Intv ID,,POC_PROB_ID,SS2905,Temperature change in affected area,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,23.09,P,28051002,Repetition of words (finding),,,PB0023,Cognition,Surveillance,,,Intv ID,,POC_PROB_ID,SS2309,Repetitious language/behavior,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,23.02,P,39538002,"Disorientation as to people, time and place (finding)",,,PB0023,Cognition,Surveillance,,,Intv ID,,POC_PROB_ID,SS2302,Disorientated To Time/Place/Person,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,23.11,P,50239007,Wandering (finding),,,PB0023,Cognition,Surveillance,,,Intv ID,,POC_PROB_ID,SS2311,Wanders,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,23.06,P,247761005,Reduced concentration (finding),,,PB0023,Cognition,Surveillance,,,Intv ID,,POC_PROB_ID,SS2306,Limited concentration,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,23.08,P,286756000,Impulsive character (finding),,,PB0023,Cognition,Surveillance,,,Intv ID,,POC_PROB_ID,SS2308,Impulsiveness,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,23.05,P,304647001,Difficulty performing logical sequencing (finding),,,PB0023,Cognition,Surveillance,,,Intv ID,,POC_PROB_ID,SS2305,Limited calculating/sequencing skills,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,23,P,373930000,Cognitive function finding (finding),,,PB0023,Cognition,Surveillance,,,Intv ID,,POC_PROB_ID,n/a,,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,23.04,P,422713003,Limited recall of long past event (finding),,,PB0023,Cognition,Surveillance,,,Intv ID,,POC_PROB_ID,SS2304,Limited recall of long past events,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,23.01,P,423124001,Diminished judgement (finding),,,PB0023,Cognition,Surveillance,,,Intv ID,,POC_PROB_ID,SS2301,Diminished Judgment/Poor Decision Making,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,23.07,P,423324006,Limited reasoning ability (finding),,,PB0023,Cognition,Surveillance,,,Intv ID,,POC_PROB_ID,SS2307,Limited reasoning/abstract thinking ability,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,23.03,P,423698005,Limited recall of recent event (finding),,,PB0023,Cognition,Surveillance,,,Intv ID,,POC_PROB_ID,SS2303,Limited recall of recent events,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,23.09,P,423884000,Repetitious behavior (finding),,,PB0023,Cognition,Surveillance,,,Intv ID,,POC_PROB_ID,SS2309,Repetitious language/behavior,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,23.07,P,424100000,Limited ability to think abstractly (finding),,,PB0023,Cognition,Surveillance,,,Intv ID,,POC_PROB_ID,SS2307,Limited reasoning/abstract thinking ability,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,50.01,P,63459005,Clinical infection (disorder),,,PB0050,Communicable/infectious condition,Surveillance,,,Intv ID,,POC_PROB_ID,SS5001,Infection,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,50,P,191415002,Communicable disease (navigational concept),,,PB0050,Communicable/infectious condition,Surveillance,,,Intv ID,,POC_PROB_ID,n/a,,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,50.05,P,309303001,Positive microbiology finding (navigational concept),,,PB0050,Communicable/infectious condition,Surveillance,,,Intv ID,,POC_PROB_ID,SS5005,Positive screening/culture/laboratory results,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,50.03,P,386661006,Fever (finding),,,PB0050,Communicable/infectious condition,Surveillance,,,Intv ID,,POC_PROB_ID,SS5003,Fever,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,50.04,P,422935003,Environment contains biological hazards (finding),,,PB0050,Communicable/infectious condition,Surveillance,,,Intv ID,,POC_PROB_ID,SS5004,Biological hazards,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,50.07,P,423678000,Noncompliance with infection control regimen (finding),,,PB0050,Communicable/infectious condition,Surveillance,,,Intv ID,,POC_PROB_ID,SS5007,Does not follow infection control regimen,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,50.06,P,424133005,Inadequate infection control measures (finding),,,PB0050,Communicable/infectious condition,Surveillance,,,Intv ID,,POC_PROB_ID,SS5006,Inadequate supplies/equipment/policies to prevent transmission,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,50.08,P,424272000,Inadequate immune status (finding),,,PB0050,Communicable/infectious condition,Surveillance,,,Intv ID,,POC_PROB_ID,SS5008,Inadequate immunity,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,50.02,P,424659009,Community infestation (finding),,,PB0050,Communicable/infectious condition,Surveillance,,,Intv ID,,POC_PROB_ID,SS5102,Infestation,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,06,P,129686009,Finding related to communication with community resources (finding),,,PB0006,Communication with community resources,Surveillance,,,Intv ID,,POC_PROB_ID,n/a,,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,04.40,I,386455001,Surveillance: community (regime/therapy),,,n/a,COMMUNICATION WITH COMMUNITY RESOURCES,Surveillance,,,Intv ID,,POC_PROB_ID,n/a,,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,06.08,P,422423006,Cultural barrier impedes ability to use community resources (finding),,,PB0006,Communication with community resources,Surveillance,,,Intv ID,,POC_PROB_ID,SS0608,Cultural barrier,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,06.12,P,422454005,Unable to use communication device to communicate with community resources (finding),,,PB0006,Communication with community resources,Surveillance,,,Intv ID,,POC_PROB_ID,SS0612,Unable to use/has inadequate communication devices/equipment,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,06.11,P,422651008,Limited access to community support services (finding),,,PB0006,Communication with community resources,Surveillance,,,Intv ID,,POC_PROB_ID,SS0611,Limited access to care/services/goods,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,06.02,P,422716006,Difficulty understanding community service provider role (finding),,,PB0006,Communication with community resources,Surveillance,,,Intv ID,,POC_PROB_ID,SS0602,difficulty understanding roles/regulations of service providers,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,06.06,P,422923002,Inadequate community resources (finding),,,PB0006,Communication with community resources,Surveillance,,,Intv ID,,POC_PROB_ID,SS0606,Inadequate/Unavailable resources,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,06.12,P,423525008,Inadequate use of communication device to communicate with community resources (finding),,,PB0006,Communication with community resources,Surveillance,,,Intv ID,,POC_PROB_ID,SS0612,Unable to use/has inadequate communication devices/equipment,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,06.06,P,423839002,Unavailable community resources (finding),,,PB0006,Communication with community resources,Surveillance,,,Intv ID,,POC_PROB_ID,SS0606,Inadequate/Unavailable resources,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,06.05,P,424423005,Language barrier impedes ability to use community resources (finding),,,PB0006,Communication with community resources,Surveillance,,,Intv ID,,POC_PROB_ID,SS0605,Language barrier,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,06.10,P,424629004,Transportation barrier impedes ability to use community resources (finding),,,PB0006,Communication with community resources,Surveillance,,,Intv ID,,POC_PROB_ID,SS0610,Transportation barrier,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,06.03,P,424746008,Unable to communicate concern to community service provider (finding),,,PB0006,Communication with community resources,Surveillance,,,Intv ID,,POC_PROB_ID,SS0603,Unable to communicate concerns to provider,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,06.09,P,424994000,Educational barrier impedes ability to use community resources (finding),,,PB0006,Communication with community resources,Surveillance,,,Intv ID,,POC_PROB_ID,SS0609,Educational Barrier/Low Health Literacy,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,06.01,P,425209002,Unfamiliar with process for obtaining community services (finding),,,PB0006,Communication with community resources,Surveillance,,,Intv ID,,POC_PROB_ID,SS0601,Unfamiliar with options/procedures for obtaining services,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,06.04,P,425296002,Dissatisfaction with community resource services (finding),,,PB0006,Communication with community resources,Surveillance,,,Intv ID,,POC_PROB_ID,SS0604,Dissatisfaction with services,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,25.02,P,89458003,Stupor (finding),,,PB0025,Consciousness,Surveillance,,,Intv ID,,POC_PROB_ID,SS2502,Stuporous,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,25,P,106167005,Consciousness related finding (finding),,,PB0025,Consciousness,Surveillance,,,Intv ID,,POC_PROB_ID,n/a,,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,25.01,P,214264003,Lethargy (finding),,,PB0025,Consciousness,Surveillance,,,Intv ID,,POC_PROB_ID,SS2501,Lethargic,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,25.04,P,371632003,Coma (disorder),,,PB0025,Consciousness,Surveillance,,,Intv ID,,POC_PROB_ID,SS2504,Comatose,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,25.03,P,422768004,Unresponsive (finding),,,PB0025,Consciousness,Surveillance,,,Intv ID,,POC_PROB_ID,SS2503,Unresponsive,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,30.01,P,16932000,Nausea and vomiting (disorder),,,PB0030,Digestion-hydration,Surveillance,,,Intv ID,,POC_PROB_ID,SS3001,Nausea/vomiting,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,30.08,P,18165001,Jaundice (finding),,,PB0030,Digestion-hydration,Surveillance,,,Intv ID,,POC_PROB_ID,SS3008,Jaundice/liver enlargement,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,30.04,P,47268002,Reflux (finding),,,PB0030,Digestion-hydration,Surveillance,,,Intv ID,,POC_PROB_ID,SS3004,Reflux/Regurgitation,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,30.05,P,56882008,Anorexia nervosa (disorder),,,PB0030,Digestion-hydration,Surveillance,,,Intv ID,,POC_PROB_ID,SS3005,Loss of appetite/Anorexia,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,30.02,P,61578001,Abnormal digestive tract function (finding),,,PB0030,Digestion-hydration,Surveillance,,,Intv ID,,POC_PROB_ID,SS3002,Difficulty/inability to chew/swallow/digest,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,30.08,P,80515008,Large liver (disorder),,,PB0030,Digestion-hydration,Surveillance,,,Intv ID,,POC_PROB_ID,SS3008,Jaundice/liver enlargement,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,30.10,P,87715008,Aptyalism (disorder),,,PB0030,Digestion-hydration,Surveillance,,,Intv ID,,POC_PROB_ID,SS3010,Cracked lips/dry mouth,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,30.11,P,105593004,Electrolyte imbalance (disorder),,,PB0030,Digestion-hydration,Surveillance,,,Intv ID,,POC_PROB_ID,SS3011,Electrolyte imbalance,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,30,P,129908006,Digestive-hydration finding (finding),,,PB0030,Digestion-hydration,Surveillance,,,Intv ID,,POC_PROB_ID,n/a,,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,30.02,P,162020001,Difficulty chewing (finding),,,PB0030,Digestion-hydration,Surveillance,,,Intv ID,,POC_PROB_ID,SS3002,Difficulty/inability to chew/swallow/digest,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,30.03,P,162031009,Indigestion (finding),,,PB0030,Digestion-hydration,Surveillance,,,Intv ID,,POC_PROB_ID,SS3003,Heartburn/Belching/Indigestion,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,30.10,P,248182008,Cracked lips (finding),,,PB0030,Digestion-hydration,Surveillance,,,Intv ID,,POC_PROB_ID,SS3010,Cracked lips/dry mouth,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,30.02,P,249486008,Unable to swallow (finding),,,PB0030,Digestion-hydration,Surveillance,,,Intv ID,,POC_PROB_ID,SS3002,Difficulty/inability to chew/swallow/digest,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,30.06,P,271737000,Anemia (disorder),,,PB0030,Digestion-hydration,Surveillance,,,Intv ID,,POC_PROB_ID,SS3006,Low red blood count/Anemia,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,30.02,P,288920002,Unable to chew (finding),,,PB0030,Digestion-hydration,Surveillance,,,Intv ID,,POC_PROB_ID,SS3002,Difficulty/inability to chew/swallow/digest,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,30.02,P,288939007,Difficulty swallowing (finding),,,PB0030,Digestion-hydration,Surveillance,,,Intv ID,,POC_PROB_ID,SS3002,Difficulty/inability to chew/swallow/digest,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,30.07,P,389026000,Ascites (disorder),,,PB0030,Digestion-hydration,Surveillance,,,Intv ID,,POC_PROB_ID,SS3007,Abnormal abdominal fluid/Ascites,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,30.09,P,425244000,Decreased skin turgor (finding),,,PB0030,Digestion-hydration,Surveillance,,,Intv ID,,POC_PROB_ID,SS3009,Decreased skin turgor,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,40,P,13197004,Contraception (finding),,,PB0040,Family planning,Surveillance,,,Intv ID,,POC_PROB_ID,n/a,,#REF!,,#REF!,#REF!,,#REF!,#REF!,
OMAHA,40.07,P,422704000,Difficulty obtaining contraception (finding),,,PB0040,Family planning,Surveillance,,,Intv ID,,POC_PROB_ID,SS4007,Difficulty obtaining family planning methods,#REF!,,#REF!,#REF!,,#REF!,#REF!,
